hand,status,position,action
J9,1-2_LIMPERS,CO,F
J9,1-2_LIMPERS,BUTTON,C2
J9,FACING_A_RAISE,MP,F
J9,FACING_A_RAISE,CO,F
J9,FACING_A_RAISE,BUTTON,F
J9,FACING_A_3-BET,CO,F
J9,FACING_A_3-BET,BUTTON,F
T9s,OPENING_PLAYER,UTG,F
T9s,OPENING_PLAYER,MP,F
T9s,OPENING_PLAYER,CO,F
T9s,OPENING_PLAYER,BUTTON,R
T9s,1-2_LIMPERS,MP,F
T9s,1-2_LIMPERS,CO,F
T9s,1-2_LIMPERS,BUTTON,C
T9s,FACING_A_RAISE,MP,F
T9s,FACING_A_RAISE,CO,F
T9s,FACING_A_RAISE,BUTTON,F
T9s,FACING_A_3-BET,CO,F
T9s,FACING_A_3-BET,BUTTON,F
T8s,OPENING_PLAYER,UTG,F
T8s,OPENING_PLAYER,MP,F
T8s,OPENING_PLAYER,CO,F
T8s,OPENING_PLAYER,BUTTON,R
T8s,1-2_LIMPERS,MP,F
T8s,1-2_LIMPERS,CO,F
T8s,1-2_LIMPERS,BUTTON,C2
T8s,FACING_A_RAISE,MP,F
T8s,FACING_A_RAISE,CO,F
T8s,FACING_A_RAISE,BUTTON,F
T8s,FACING_A_3-BET,CO,F
T8s,FACING_A_3-BET,BUTTON,F
T9,OPENING_PLAYER,UTG,F
T9,OPENING_PLAYER,MP,F
T9,OPENING_PLAYER,CO,F
T9,OPENING_PLAYER,BUTTON,R
T9,1-2_LIMPERS,MP,F
T9,1-2_LIMPERS,CO,F
T9,1-2_LIMPERS,BUTTON,C2
T9,FACING_A_RAISE,MP,F
T9,FACING_A_RAISE,CO,F
T9,FACING_A_RAISE,BUTTON,F
T9,FACING_A_3-BET,CO,F
T9,FACING_A_3-BET,BUTTON,F
98s,OPENING_PLAYER,UTG,F
98s,OPENING_PLAYER,MP,F
98s,OPENING_PLAYER,CO,F
98s,OPENING_PLAYER,BUTTON,R
98s,1-2_LIMPERS,MP,F
98s,1-2_LIMPERS,CO,F
98s,1-2_LIMPERS,BUTTON,C2
98s,FACING_A_RAISE,MP,F
98s,FACING_A_RAISE,CO,F
98s,FACING_A_RAISE,BUTTON,F
98s,FACING_A_3-BET,CO,F
98s,FACING_A_3-BET,BUTTON,F
87s,OPENING_PLAYER,UTG,F
87s,OPENING_PLAYER,MP,F
87s,OPENING_PLAYER,CO,F
87s,OPENING_PLAYER,BUTTON,R
87s,1-2_LIMPERS,MP,F
87s,1-2_LIMPERS,CO,F
87s,1-2_LIMPERS,BUTTON,C2
87s,FACING_A_RAISE,MP,F
87s,FACING_A_RAISE,CO,F
87s,FACING_A_RAISE,BUTTON,F
87s,FACING_A_3-BET,CO,F
87s,FACING_A_3-BET,BUTTON,F
76s,OPENING_PLAYER,UTG,F
76s,OPENING_PLAYER,MP,F
76s,OPENING_PLAYER,CO,F
76s,OPENING_PLAYER,BUTTON,R
76s,1-2_LIMPERS,MP,F
76s,1-2_LIMPERS,CO,F
76s,1-2_LIMPERS,BUTTON,C2
76s,FACING_A_RAISE,MP,F
76s,FACING_A_RAISE,CO,F
76s,FACING_A_RAISE,BUTTON,F
76s,FACING_A_3-BET,CO,F
76s,FACING_A_3-BET,BUTTON,F
